_id,Date,Leasee,Name of Event,Place,Type,Revenue,Attendance
163,2013,City of Jackson,Memorial Service for Officer Bruce Jacob,Thalia Mara,City Event,0.0000,100
164,2013,Beaver Productions,Bryan Adams,Thalia Mara,Concert,2850.0000,1539
165,2013,Three Kings Entertainment,Anthony Hamilton,Thalia Mara,Concert,2590.0000,2219
166,2013,Mississippi Symphony,Bravo I,Thalia Mara,Symphony,1150.0000,1900
167,2013,"W. Kessler, LTD",Rock Legends,Thalia Mara,Concert,5100.0000,1400
168,2013,Mississippi Bar Association,Mississippi Bar Admission Ceremony,Thalia Mara,Event,700.0000,1800
169,2013,Ardenland,The Black Crowes,Thalia Mara,Concert,2550.0000,2022
170,2013,Mississippi Mass Choir,Mississippi Mass Choir 25th Anniversary,Thalia Mara,Chorus,750.0000,2358
171,2013,Outback Concerts,Rodney Carrington Comedy Show,Thalia Mara,Comedy,2550.0000,857
172,2013,Mississippi Music Educators,Mississippi Sings,Thalia Mara,Children's Show,900.0000,4716
173,2013,"W. Kessler, LTD",Beauty and The Beast,Thalia Mara,Musical,2550.0000,2100
174,2013,Mississippi Symphony,Classical Mystery Tour: A Tribute to,Thalia Mara,Symphony,950.0000,1900
175,2013,Chamber Theater,Encore,Thalia Mara,Children's Show,1200.0000,2358
176,2013,Ballet Mississippi,Stars of The American Ballet,Thalia Mara,Ballet,750.0000,600
177,2013,"W. Kessler, LTD",Chicago the Musical,Thalia Mara,Musical,5100.0000,1500
178,2013,Mississippi Symphony,Verdi's Requiem,Thalia Mara,Symphony,1150.0000,1600
179,2013,Mississippi Symphony,Streisand Songbook,Thalia Mara,Symphony,1150.0000,900
180,2013,Larry Schaeffer Presents,Willie Nelson Concert,Thalia Mara,Concert,1250.0000,0
181,2013,Ballet Mississippi,The Nutcracker,Thalia Mara,Ballet,2700.0000,8816
182,2013,Ballet Magnificat,Snow Queen,Thalia Mara,Ballet,1700.0000,4600
183,2013,Belhavaen College,Graduation,Thalia Mara,Graduation,700.0000,2358
184,2013,Mississippi Chorus,Handel's Messiah,Thalia Mara,Chorus,950.0000,1200
185,2014,JB Films LLC,"Filming of ""Get On Up"" James Brown Movie",Thalia Mara,Movie,15000.0000,4000
186,2014,IBC,2014 USA International Ballet Competition,Thalia Mara,IBC,0.0000,30000
187,2014,GMBSC,General Missionary Baptist State,Thalia Mara,Convention,750.0000,1000
188,2014,City of Jackson,Mayor's State of the City Address,Thalia Mara,City Event,0.0000,400
189,2014,Live Nation,Maxwell Concert,Thalia Mara,Concert,8335.0000,1683
190,2014,Agape Community Development Corp.,Vicki Yohe Concert,Thalia Mara,Concert,1025.0000,55
191,2014,Mississippi Bar Association,Mississippi Bar Admission Ceremony,Thalia Mara,Event,700.0000,1500
192,2014,"Pilgrim Operations, Inc.",Bring It Televison Show Filming,Thalia Mara,Dance,1400.0000,950
193,2014,"Independent People Torn, LLC",Mrs. Independent,Thalia Mara,Play,9945.0000,1773
194,2014,Mississippi Symphony,Beethoven's Eroica,Thalia Mara,Symphony,1780.0000,775
195,2014,Chamber Theater,Encore,Thalia Mara,Children's Show,1200.0000,1900
196,2014,Mississippi Symphony,Oh What A Night!,Thalia Mara,Symphony,2236.0000,886
197,2014,Exceptional Artists,Bill Maher Comedy Show,Thalia Mara,Comedy,7945.0000,1170
198,2014,Mississippi Symphony,The Sorcerer's Apprentice,Thalia Mara,Symphony,1644.0000,888
199,2014,Ballet Mississippi,The Nutcracker,Thalia Mara,Ballet,10555.0000,7062
200,2014,Extra Table,Mac McAnallly with some Coral Reefers,Thalia Mara,Concert,3801.0000,1017
201,2014,Belhaven College,Graduation,Thalia Mara,Graduation,700.0000,2040
